[0;32mI (13) boot: ESP-IDF v5.1-beta1-378-gea5e0ff298-dirt 2nd stage bootloader[0m
[0;32mI (13) boot: compile time Jun  7 2023 07:48:23[0m
[0;32mI (15) boot: Multicore bootloader[0m
[0;32mI (19) boot: chip revision: v3.1[0m
[0;32mI (23) boot.esp32: SPI Speed      : 40MHz[0m
[0;32mI (27) boot.esp32: SPI Mode       : DIO[0m
[0;32mI (32) boot.esp32: SPI Flash Size : 4MB[0m
[0;32mI (36) boot: Enabling RNG early entropy source...[0m
[0;32mI (42) boot: Partition Table:[0m
[0;32mI (45) boot: ## Label            Usage          Type ST Offset   Length[0m
[0;32mI (53) boot:  0 nvs              WiFi data        01 02 00009000 00006000[0m
[0;32mI (60) boot:  1 phy_init         RF data          01 01 0000f000 00001000[0m
[0;32mI (67) boot:  2 factory          factory app      00 00 00010000 003f0000[0m
[0;32mI (75) boot: End of partition table[0m
[0;32mI (79) esp_image: segment 0: paddr=00010020 vaddr=3f400020 size=0b100h ( 45312) map[0m
[0;32mI (104) esp_image: segment 1: paddr=0001b128 vaddr=3ffb0000 size=01f6ch (  8044) load[0m
[0;32mI (107) esp_image: segment 2: paddr=0001d09c vaddr=40080000 size=013f4h (  5108) load[0m
[0;32mI (112) esp_image: segment 3: paddr=0001e498 vaddr=00000000 size=01b80h (  7040) [0m
[0;32mI (121) esp_image: segment 4: paddr=00020020 vaddr=400d0020 size=10740h ( 67392) map[0m
[0;32mI (152) boot: Loaded app from partition at offset 0x10000[0m
[0;32mI (152) boot: Disabling RNG early entropy source...[0m
tap_trace,ms,tap_src,seq,int1,int2,pgood,batt_pct,gx,gy,gz,ax,ay,az
tap_trace,6684,0x00,0,0,0,-1,100,0,0,0,-105,16272,-426
tap_trace,6739,0x00,0,0,0,-1,100,0,0,0,-102,16306,-460
tap_trace,6808,0x00,0,0,0,-1,100,0,0,0,-80,16244,-419
tap_trace,6863,0x00,0,0,0,-1,100,0,0,0,-120,16216,-460
tap_trace,6917,0x00,0,0,0,-1,100,0,0,0,-109,16305,-413
tap_trace,6971,0x00,0,0,0,-1,100,0,0,0,-98,16319,-430
tap_trace,7025,0x00,0,0,0,-1,100,0,0,0,-90,16299,-436
tap_trace,7095,0x00,0,0,0,-1,100,0,0,0,-89,16344,-426
tap_trace,7149,0x00,0,0,0,-1,100,0,0,0,-104,16270,-437
tap_trace,7203,0x00,0,0,0,-1,100,0,0,0,-136,16316,-389
tap_trace,7257,0x00,0,0,0,-1,100,0,0,0,-93,16298,-427
tap_trace,7311,0x00,0,0,0,-1,100,0,0,0,-99,16271,-459
tap_trace,7381,0x00,0,0,0,-1,100,0,0,0,-64,16320,-422
tap_trace,7435,0x00,0,0,0,-1,100,0,0,0,-100,16249,-451
tap_trace,7489,0x00,0,0,0,-1,100,0,0,0,-83,16291,-439
tap_trace,7544,0x00,0,0,0,-1,100,0,0,0,-148,16291,-422
tap_trace,7598,0x00,0,0,0,-1,100,0,0,0,-82,16272,-462
tap_trace,7668,0x00,0,0,0,-1,100,0,0,0,-80,16307,-398
tap_trace,7722,0x00,0,0,0,-1,100,0,0,0,-77,16318,-493
tap_trace,7776,0x00,0,0,0,-1,100,0,0,0,-83,16293,-381
tap_trace,7830,0x00,0,0,0,-1,100,0,0,0,-106,16318,-454
tap_trace,7884,0x00,0,0,0,-1,100,0,0,0,-75,16287,-445
tap_trace,7954,0x00,0,0,0,-1,100,0,0,0,-104,16296,-397
tap_trace,8008,0x00,0,0,0,-1,100,0,0,0,-110,16294,-455
tap_trace,8062,0x00,0,0,0,-1,100,0,0,0,-102,16289,-420
tap_trace,8116,0x00,0,0,0,-1,100,0,0,0,-87,16318,-447
tap_trace,8171,0x00,0,0,0,-1,100,0,0,0,-101,16296,-443
tap_trace,8240,0x00,0,0,0,-1,100,0,0,0,-97,16283,-428
tap_trace,8295,0x00,0,0,0,-1,100,0,0,0,-117,16314,-448
tap_trace,8349,0x00,0,0,0,-1,100,0,0,0,-98,16275,-437
tap_trace,8403,0x00,0,0,0,-1,100,0,0,0,-108,16310,-425
tap_trace,8457,0x00,0,0,0,-1,100,0,0,0,-69,16303,-384
tap_trace,8527,0x00,0,0,0,-1,100,0,0,0,-126,16264,-466
tap_trace,8581,0x00,0,0,0,-1,100,0,0,0,-64,16289,-381
tap_trace,8635,0x00,0,0,0,-1,100,0,0,0,-116,16287,-463
tap_trace,8689,0x00,0,0,0,-1,100,0,0,0,-98,16309,-424
tap_trace,8743,0x00,0,0,0,-1,100,0,0,0,-89,16301,-436
tap_trace,8813,0x00,0,0,0,-1,100,0,0,0,-114,16286,-452
tap_trace,8867,0x00,0,0,0,-1,100,0,0,0,-105,16262,-411
tap_trace,8921,0x00,0,0,0,-1,100,0,0,0,-104,16312,-434
tap_trace,8976,0x00,0,0,0,-1,100,0,0,0,-107,16306,-469
tap_trace,9030,0x00,0,0,0,-1,100,0,0,0,-146,16289,-416
tap_trace,9100,0x00,0,0,0,-1,100,0,0,0,-118,16300,-468
tap_trace,9154,0x00,0,0,0,-1,100,0,0,0,-100,16315,-445
tap_trace,9208,0x00,0,0,0,-1,100,0,0,0,-88,16309,-477
tap_trace,9262,0x00,0,0,0,-1,100,0,0,0,-97,16329,-424
tap_trace,9316,0x00,0,0,0,-1,100,0,0,0,-112,16321,-425
tap_trace,9386,0x00,0,0,0,-1,100,0,0,0,-89,16266,-445
tap_trace,9440,0x00,0,0,0,-1,100,0,0,0,-132,16330,-428
tap_trace,9494,0x00,0,0,0,-1,100,0,0,0,-74,16289,-443
tap_trace,9548,0x00,0,0,0,-1,100,0,0,0,-96,16296,-445
tap_trace,9603,0x00,0,0,0,-1,100,0,0,0,-99,16278,-369
tap_trace,9672,0x00,0,0,0,-1,100,0,0,0,-82,16290,-486
tap_trace,9727,0x00,0,0,0,-1,100,0,0,0,-123,16344,-419
tap_trace,9781,0x00,0,0,0,-1,100,0,0,0,-87,16289,-464
tap_trace,9835,0x00,0,0,0,-1,100,0,0,0,-107,16307,-404
tap_trace,9889,0x00,0,0,0,-1,100,0,0,0,-83,16281,-430
tap_trace,9959,0x00,0,0,0,-1,100,0,0,0,-110,16291,-466
tap_trace,10013,0x00,0,0,0,-1,100,0,0,0,-81,16316,-456
tap_trace,10067,0x00,0,0,0,-1,100,0,0,0,-118,16302,-456
tap_trace,10121,0x00,0,0,0,-1,100,0,0,0,-87,16295,-452
tap_trace,10175,0x00,0,0,0,-1,100,0,0,0,-86,16286,-437
tap_trace,10245,0x00,0,0,0,-1,100,0,0,0,-95,16260,-474
tap_trace,10299,0x00,0,0,0,-1,100,0,0,0,-77,16312,-389
tap_trace,10353,0x00,0,0,0,-1,100,0,0,0,-98,16322,-479
tap_trace,10408,0x00,0,0,0,-1,100,0,0,0,-111,16342,-422
tap_trace,10462,0x00,0,0,0,-1,100,0,0,0,-83,16316,-384
tap_trace,10532,0x00,0,0,0,-1,100,0,0,0,-121,16301,-489
tap_trace,10586,0x00,0,0,0,-1,100,0,0,0,-106,16304,-447
tap_trace,10640,0x00,0,0,0,-1,100,0,0,0,-92,16306,-428
tap_trace,10694,0x00,0,0,0,-1,100,0,0,0,-100,16343,-423
tap_trace,10748,0x00,0,0,0,-1,100,0,0,0,-89,16341,-499
tap_trace,10818,0x00,0,0,0,-1,100,0,0,0,-79,16299,-382
tap_trace,10872,0x00,0,0,0,-1,100,0,0,0,-98,16295,-417
tap_trace,10926,0x00,0,0,0,-1,100,0,0,0,-98,16330,-413
tap_trace,10980,0x00,0,0,0,-1,100,0,0,0,-74,16307,-442
tap_trace,11035,0x00,0,0,0,-1,100,0,0,0,-137,16300,-428
tap_trace,11104,0x00,0,0,0,-1,100,0,0,0,-94,16286,-426
tap_trace,11159,0x00,0,0,0,-1,100,0,0,0,-67,16268,-465
tap_trace,11213,0x00,0,0,0,-1,100,0,0,0,-116,16318,-425
tap_trace,11267,0x00,0,0,0,-1,100,0,0,0,-80,16289,-468
tap_trace,11321,0x00,0,0,0,-1,100,0,0,0,-100,16308,-446
tap_trace,11391,0x00,0,0,0,-1,100,0,0,0,-70,16290,-441
tap_trace,11445,0x00,0,0,0,-1,100,0,0,0,-114,16267,-446
tap_trace,11499,0x00,0,0,0,-1,100,0,0,0,-120,16294,-423
tap_trace,11553,0x00,0,0,0,-1,100,0,0,0,-89,16307,-456
tap_trace,11607,0x00,0,0,0,-1,100,0,0,0,-104,16309,-416
tap_trace,11677,0x00,0,0,0,-1,100,0,0,0,-60,16284,-419
tap_trace,11731,0x00,0,0,0,-1,100,0,0,0,-93,16318,-459
tap_trace,11785,0x00,0,0,0,-1,100,0,0,0,-122,16318,-452
tap_trace,11840,0x00,0,0,0,-1,100,0,0,0,-87,16293,-429
tap_trace,11894,0x00,0,0,0,-1,100,0,0,0,-116,16294,-452
tap_trace,11964,0x00,0,0,0,-1,100,0,0,0,-79,16291,-417
tap_trace,12018,0x00,0,0,0,-1,100,0,0,0,-117,16299,-435
tap_trace,12072,0x00,0,0,0,-1,100,0,0,0,-130,16285,-446
tap_trace,12126,0x00,0,0,0,-1,100,0,0,0,-94,16288,-450
tap_trace,12180,0x00,0,0,0,-1,100,0,0,0,-117,16316,-445
tap_trace,12250,0x00,0,0,0,-1,100,0,0,0,-58,16278,-453
tap_trace,12304,0x00,0,0,0,-1,100,0,0,0,-88,16288,-447
tap_trace,12358,0x00,0,0,0,-1,100,0,0,0,-135,16275,-426
tap_trace,12412,0x00,0,0,0,-1,100,0,0,0,-55,16281,-441
tap_trace,12467,0x00,0,0,0,-1,100,0,0,0,-108,16317,-443
tap_trace,12536,0x00,0,0,0,-1,100,0,0,0,-98,16299,-435
tap_trace,12591,0x00,0,0,0,-1,100,0,0,0,-75,16298,-461
tap_trace,12645,0x00,0,0,0,-1,100,0,0,0,-134,16310,-438
tap_trace,12699,0x00,0,0,0,-1,100,0,0,0,-85,16298,-427
tap_trace,12753,0x00,0,0,0,-1,100,0,0,0,-97,16303,-439
