[0;32mI (13) boot: ESP-IDF v5.1-beta1-378-gea5e0ff298-dirt 2nd stage bootloader[0m
[0;32mI (13) boot: compile time Jun  7 2023 07:48:23[0m
[0;32mI (15) boot: Multicore bootloader[0m
[0;32mI (19) boot: chip revision: v3.1[0m
[0;32mI (23) boot.esp32: SPI Speed      : 40MHz[0m
[0;32mI (27) boot.esp32: SPI Mode       : DIO[0m
[0;32mI (32) boot.esp32: SPI Flash Size : 4MB[0m
[0;32mI (36) boot: Enabling RNG early entropy source...[0m
[0;32mI (42) boot: Partition Table:[0m
[0;32mI (45) boot: ## Label            Usage          Type ST Offset   Length[0m
[0;32mI (53) boot:  0 nvs              WiFi data        01 02 00009000 00006000[0m
[0;32mI (60) boot:  1 phy_init         RF data          01 01 0000f000 00001000[0m
[0;32mI (67) boot:  2 factory          factory app      00 00 00010000 003f0000[0m
[0;32mI (75) boot: End of partition table[0m
[0;32mI (79) esp_image: segment 0: paddr=00010020 vaddr=3f400020 size=0b144h ( 45380) map[0m
[0;32mI (104) esp_image: segment 1: paddr=0001b16c vaddr=3ffb0000 size=01f6ch (  8044) load[0m
[0;32mI (108) esp_image: segment 2: paddr=0001d0e0 vaddr=40080000 size=013f4h (  5108) load[0m
[0;32mI (112) esp_image: segment 3: paddr=0001e4dc vaddr=00000000 size=01b3ch (  6972) [0m
[0;32mI (121) esp_image: segment 4: paddr=00020020 vaddr=400d0020 size=109ech ( 68076) map[0m
[0;32mI (152) boot: Loaded app from partition at offset 0x10000[0m
[0;32mI (152) boot: Disabling RNG early entropy source...[0m
tap_trace,ms,tap_src,seq,cand,jerk,int1,int2,pgood,batt_pct,gx,gy,gz,ax,ay,az
tap_trace,7601,0x00,0,0,53,0,0,-1,100,0,0,0,209,-347,16591
tap_trace,7658,0x00,0,0,13,0,0,-1,100,0,0,0,209,-334,16617
tap_trace,7715,0x00,0,0,42,0,0,-1,100,0,0,0,225,-306,16581
tap_trace,7771,0x00,0,0,37,0,0,-1,100,0,0,0,238,-355,16594
tap_trace,7828,0x00,0,0,26,0,0,-1,100,0,0,0,199,-328,16577
tap_trace,7884,0x00,0,0,16,0,0,-1,100,0,0,0,208,-309,16578
tap_trace,7942,0x00,0,0,22,0,0,-1,100,0,0,0,206,-347,16571
tap_trace,7998,0x00,0,0,26,0,0,-1,100,0,0,0,173,-330,16586
tap_trace,8055,0x00,0,0,48,0,0,-1,100,0,0,0,238,-332,16588
tap_trace,8111,0x00,0,0,27,0,0,-1,100,0,0,0,212,-340,16581
tap_trace,8167,0x00,0,0,48,0,0,-1,100,0,0,0,204,-334,16578
tap_trace,8225,0x00,0,0,78,0,0,-1,100,0,0,0,205,-339,16599
tap_trace,8281,0x00,0,0,70,0,0,-1,100,0,0,0,221,-328,16593
tap_trace,8338,0x00,0,0,46,0,0,-1,100,0,0,0,209,-327,16580
tap_trace,8394,0x00,0,0,24,0,0,-1,100,0,0,0,196,-344,16579
tap_trace,8451,0x00,0,0,47,0,0,-1,100,0,0,0,220,-361,16591
tap_trace,8508,0x00,0,0,66,0,0,-1,100,0,0,0,210,-359,16597
tap_trace,8565,0x00,0,0,23,0,0,-1,100,0,0,0,205,-346,16584
tap_trace,8621,0x00,0,0,45,0,0,-1,100,0,0,0,219,-340,16595
tap_trace,8677,0x00,0,0,6,0,0,-1,100,0,0,0,203,-348,16592
tap_trace,8734,0x00,0,0,49,0,0,-1,100,0,0,0,198,-343,16602
tap_trace,8792,0x00,0,0,86,0,0,-1,100,0,0,0,225,-336,16576
tap_trace,8848,0x00,0,0,12,0,0,-1,100,0,0,0,204,-340,16580
tap_trace,8904,0x00,0,0,26,0,0,-1,100,0,0,0,185,-354,16576
tap_trace,8961,0x00,0,0,42,0,0,-1,100,0,0,0,209,-343,16622
tap_trace,9017,0x00,0,0,38,0,0,-1,100,0,0,0,194,-343,16583
tap_trace,9075,0x00,0,0,45,0,0,-1,100,0,0,0,205,-300,16628
tap_trace,9131,0x00,0,0,53,0,0,-1,100,0,0,0,202,-326,16607
tap_trace,9188,0x00,0,0,48,0,0,-1,100,0,0,0,196,-351,16581
tap_trace,9244,0x00,0,0,39,0,0,-1,100,0,0,0,224,-341,16598
tap_trace,9301,0x00,0,0,46,0,0,-1,100,0,0,0,213,-354,16605
tap_trace,9358,0x00,0,0,67,0,0,-1,100,0,0,0,199,-325,16575
tap_trace,9415,0x00,0,0,40,0,0,-1,100,0,0,0,202,-330,16590
tap_trace,9471,0x00,0,0,19,0,0,-1,100,0,0,0,224,-343,16585
tap_trace,9528,0x00,0,0,31,0,0,-1,100,0,0,0,225,-340,16634
tap_trace,9584,0x00,0,0,44,0,0,-1,100,0,0,0,186,-345,16599
tap_trace,9642,0x00,0,0,75,0,0,-1,100,0,0,0,197,-339,16621
tap_trace,9698,0x00,0,0,28,0,0,-1,100,0,0,0,201,-352,16604
tap_trace,9755,0x00,0,0,51,0,0,-1,100,0,0,0,213,-344,16607
tap_trace,9811,0x00,0,0,44,0,0,-1,100,0,0,0,200,-351,16603
tap_trace,9868,0x00,0,0,95,0,0,-1,100,0,0,0,210,-322,16584
tap_trace,9925,0x00,0,0,35,0,0,-1,100,0,0,0,206,-343,16616
tap_trace,9982,0x00,0,0,30,0,0,-1,100,0,0,0,197,-339,16584
tap_trace,10038,0x00,0,0,43,0,0,-1,100,0,0,0,225,-340,16596
tap_trace,10095,0x00,0,0,12,0,0,-1,100,0,0,0,207,-364,16605
tap_trace,10151,0x00,0,0,60,0,0,-1,100,0,0,0,227,-356,16573
tap_trace,10209,0x00,0,0,59,0,0,-1,100,0,0,0,213,-344,16575
tap_trace,10265,0x00,0,0,51,0,0,-1,100,0,0,0,215,-338,16574
tap_trace,10322,0x00,0,0,57,0,0,-1,100,0,0,0,207,-346,16603
tap_trace,10378,0x00,0,0,52,0,0,-1,100,0,0,0,198,-351,16566
tap_trace,10435,0x00,0,0,68,0,0,-1,100,0,0,0,204,-314,16581
tap_trace,10492,0x00,0,0,49,0,0,-1,100,0,0,0,213,-350,16589
tap_trace,10549,0x00,0,0,45,0,0,-1,100,0,0,0,198,-343,16575
tap_trace,10605,0x00,0,0,110,0,0,-1,100,0,0,0,197,-322,16588
tap_trace,10662,0x00,0,0,81,0,0,-1,100,0,0,0,205,-340,16591
tap_trace,10718,0x00,0,0,52,0,0,-1,100,0,0,0,187,-343,16589
tap_trace,10776,0x00,0,0,28,0,0,-1,100,0,0,0,225,-322,16619
tap_trace,10832,0x00,0,0,60,0,0,-1,100,0,0,0,206,-332,16588
tap_trace,10889,0x00,0,0,49,0,0,-1,100,0,0,0,193,-327,16587
tap_trace,10945,0x00,0,0,56,0,0,-1,100,0,0,0,199,-335,16592
tap_trace,11002,0x00,0,0,49,0,0,-1,100,0,0,0,230,-362,16610
tap_trace,11059,0x00,0,0,63,0,0,-1,100,0,0,0,205,-331,16625
