[0;32mI (13) boot: ESP-IDF v5.1-beta1-378-gea5e0ff298-dirt 2nd stage bootloader[0m
[0;32mI (13) boot: compile time Jun  7 2023 07:48:23[0m
[0;32mI (15) boot: Multicore bootloader[0m
[0;32mI (19) boot: chip revision: v3.1[0m
[0;32mI (23) boot.esp32: SPI Speed      : 40MHz[0m
[0;32mI (27) boot.esp32: SPI Mode       : DIO[0m
[0;32mI (32) boot.esp32: SPI Flash Size : 4MB[0m
[0;32mI (36) boot: Enabling RNG early entropy source...[0m
[0;32mI (42) boot: Partition Table:[0m
[0;32mI (45) boot: ## Label            Usage          Type ST Offset   Length[0m
[0;32mI (53) boot:  0 nvs              WiFi data        01 02 00009000 00006000[0m
[0;32mI (60) boot:  1 phy_init         RF data          01 01 0000f000 00001000[0m
[0;32mI (67) boot:  2 factory          factory app      00 00 00010000 003f0000[0m
[0;32mI (75) boot: End of partition table[0m
[0;32mI (79) esp_image: segment 0: paddr=00010020 vaddr=3f400020 size=0b1bch ( 45500) map[0m
[0;32mI (104) esp_image: segment 1: paddr=0001b1e4 vaddr=3ffb0000 size=01f6ch (  8044) load[0m
[0;32mI (108) esp_image: segment 2: paddr=0001d158 vaddr=40080000 size=013f4h (  5108) load[0m
[0;32mI (112) esp_image: segment 3: paddr=0001e554 vaddr=00000000 size=01ac4h (  6852) [0m
[0;32mI (121) esp_image: segment 4: paddr=00020020 vaddr=400d0020 size=10da0h ( 69024) map[0m
[0;32mI (153) boot: Loaded app from partition at offset 0x10000[0m
[0;32mI (153) boot: Disabling RNG early entropy source...[0m
tap_trace,ms,tap_src,seq,cand,csrc,jerk,veto,gyro,int1,int2,pgood,batt_pct,gx,gy,gz,ax,ay,az
tap_trace,5759,0x00,0,0,0x00,55,0,1478,0,0,-1,100,-190,-904,-390,724,-368,16540
tap_trace,5814,0x00,0,0,0x00,63,0,1486,0,0,-1,100,-189,-910,-400,721,-373,16531
tap_trace,5869,0x00,0,0,0x00,67,0,1509,0,0,-1,100,-212,-902,-368,700,-394,16559
tap_trace,5924,0x00,0,0,0x00,47,0,1488,0,0,-1,100,-189,-905,-393,718,-382,16526
tap_trace,5995,0x00,0,0,0x00,35,0,1504,0,0,-1,100,-192,-886,-399,700,-393,16592
tap_trace,6050,0x00,0,0,0x00,51,0,1468,0,0,-1,100,-174,-914,-392,690,-393,16559
tap_trace,6105,0x00,0,0,0x00,42,0,1502,0,0,-1,100,-185,-910,-389,729,-425,16572
tap_trace,6160,0x00,0,0,0x00,45,0,1467,0,0,-1,100,-200,-919,-388,697,-417,16529
tap_trace,6215,0x00,0,0,0x00,57,0,1477,0,0,-1,100,-176,-912,-376,722,-418,16528
tap_trace,6286,0x00,0,0,0x00,91,0,1490,0,0,-1,100,-197,-910,-375,749,-390,16586
tap_trace,6341,0x00,0,0,0x00,152,0,1485,0,0,-1,100,-203,-905,-392,684,-406,16494
tap_trace,6396,0x00,0,0,0x00,137,0,1491,0,0,-1,100,-191,-922,-372,703,-412,16572
tap_trace,6451,0x00,0,0,0x00,170,0,1491,0,0,-1,100,-216,-916,-369,759,-392,16495
tap_trace,6506,0x00,0,0,0x00,163,0,1506,0,0,-1,100,-203,-911,-382,679,-433,16509
tap_trace,6577,0x00,0,0,0x00,50,0,1499,0,0,-1,100,-197,-921,-367,737,-402,16581
tap_trace,6632,0x00,0,0,0x00,60,0,1477,0,0,-1,100,-194,-914,-393,707,-412,16558
tap_trace,6687,0x00,0,0,0x00,122,0,1498,0,0,-1,100,-208,-926,-368,711,-377,16602
tap_trace,6742,0x00,0,0,0x00,128,0,1472,0,0,-1,100,-199,-896,-364,747,-360,16550
tap_trace,6797,0x00,0,0,0x00,87,0,1494,0,0,-1,100,-181,-915,-410,748,-390,16626
tap_trace,6868,0x00,0,0,0x00,100,0,1509,0,0,-1,100,-215,-892,-386,700,-410,16570
tap_trace,6923,0x00,0,0,0x00,102,0,1480,0,0,-1,100,-207,-915,-377,714,-375,16582
tap_trace,6978,0x00,0,0,0x00,44,0,1490,0,0,-1,100,-195,-921,-396,743,-418,16573
tap_trace,7033,0x00,0,0,0x00,70,0,1460,0,0,-1,100,-188,-891,-377,688,-406,16528
tap_trace,7088,0x00,0,0,0x00,85,0,1502,0,0,-1,100,-187,-912,-395,724,-376,16598
tap_trace,7159,0x00,0,0,0x00,72,0,1477,0,0,-1,100,-190,-901,-365,709,-415,16583
tap_trace,7214,0x00,0,0,0x00,96,0,1502,0,0,-1,100,-179,-919,-393,734,-402,16559
tap_trace,7269,0x00,0,0,0x00,27,0,1464,0,0,-1,100,-201,-932,-378,716,-383,16574
tap_trace,7324,0x00,0,0,0x00,34,0,1462,0,0,-1,100,-188,-922,-380,754,-390,16594
tap_trace,7379,0x00,0,0,0x00,59,0,1469,0,0,-1,100,-201,-922,-387,668,-376,16552
tap_trace,7450,0x00,0,0,0x00,66,0,1476,0,0,-1,100,-199,-904,-384,718,-410,16582
tap_trace,7505,0x00,0,0,0x00,76,0,1473,0,0,-1,100,-193,-912,-366,720,-410,16528
tap_trace,7560,0x00,0,0,0x00,62,0,1505,0,0,-1,100,-206,-908,-383,672,-354,16536
tap_trace,7615,0x00,0,0,0x00,110,0,1512,0,0,-1,100,-206,-914,-381,722,-419,16574
tap_trace,7670,0x00,0,0,0x00,76,0,1467,0,0,-1,100,-192,-927,-384,688,-390,16585
tap_trace,7741,0x00,0,0,0x00,57,0,1519,0,0,-1,100,-195,-920,-382,751,-371,16598
tap_trace,7796,0x00,0,0,0x00,64,0,1491,0,0,-1,100,-195,-914,-379,717,-408,16566
tap_trace,7851,0x00,0,0,0x00,38,0,1474,0,0,-1,100,-193,-891,-378,706,-404,16537
tap_trace,7906,0x00,0,0,0x00,62,0,1471,0,0,-1,100,-203,-902,-376,705,-391,16558
tap_trace,7961,0x00,0,0,0x00,56,0,1479,0,0,-1,100,-189,-914,-367,730,-379,16521
tap_trace,8032,0x00,0,0,0x00,45,0,1486,0,0,-1,100,-201,-936,-363,709,-422,16583
tap_trace,8087,0x00,0,0,0x00,90,0,1473,0,0,-1,100,-183,-916,-401,721,-381,16523
tap_trace,8142,0x00,0,0,0x00,45,0,1464,0,0,-1,100,-180,-896,-376,722,-409,16575
tap_trace,8197,0x00,0,0,0x00,23,0,1498,0,0,-1,100,-178,-926,-386,743,-406,16553
tap_trace,8252,0x00,0,0,0x00,41,0,1501,0,0,-1,100,-211,-901,-379,763,-398,16533
tap_trace,8323,0x00,0,0,0x00,45,0,1511,0,0,-1,100,-195,-913,-391,723,-400,16585
tap_trace,8378,0x00,0,0,0x00,63,0,1475,0,0,-1,100,-196,-917,-392,711,-394,16549
tap_trace,8433,0x00,0,0,0x00,50,0,1502,0,0,-1,100,-208,-920,-377,739,-422,16580
tap_trace,8488,0x00,0,0,0x00,40,0,1458,0,0,-1,100,-198,-910,-399,729,-389,16578
tap_trace,8543,0x00,0,0,0x00,77,0,1450,0,0,-1,100,-202,-899,-387,700,-387,16543
tap_trace,8614,0x00,0,0,0x00,66,0,1486,0,0,-1,100,-190,-909,-377,750,-404,16559
tap_trace,8669,0x00,0,0,0x00,44,0,1494,0,0,-1,100,-206,-882,-382,693,-392,16568
tap_trace,8724,0x00,0,0,0x00,23,0,1492,0,0,-1,100,-215,-910,-386,742,-389,16542
tap_trace,8779,0x00,0,0,0x00,67,0,1489,0,0,-1,100,-188,-922,-380,717,-417,16577
tap_trace,8834,0x00,0,0,0x00,63,0,1492,0,0,-1,100,-187,-910,-380,731,-385,16530
tap_trace,8905,0x00,0,0,0x00,96,0,1506,0,0,-1,100,-208,-915,-376,750,-405,16575
tap_trace,8960,0x00,0,0,0x00,47,0,1533,0,0,-1,100,-220,-927,-387,722,-403,16595
tap_trace,9015,0x00,0,0,0x00,47,0,1495,0,0,-1,100,-186,-912,-380,739,-402,16482
tap_trace,9070,0x00,0,0,0x00,89,0,1490,0,0,-1,100,-196,-924,-407,732,-403,16591
tap_trace,9125,0x00,0,0,0x00,97,0,1517,0,0,-1,100,-181,-889,-380,686,-399,16588
tap_trace,9196,0x00,0,0,0x00,52,0,1479,0,0,-1,100,-197,-919,-387,702,-414,16584
tap_trace,9251,0x00,0,0,0x00,23,0,1494,0,0,-1,100,-214,-921,-395,735,-408,16612
tap_trace,9306,0x00,0,0,0x00,45,0,1472,0,0,-1,100,-189,-907,-370,729,-387,16565
tap_trace,9361,0x00,0,0,0x00,33,0,1506,0,0,-1,100,-208,-875,-367,728,-410,16601
tap_trace,9416,0x00,0,0,0x00,27,0,1507,0,0,-1,100,-205,-911,-385,730,-410,16577
tap_trace,9487,0x00,0,0,0x00,24,0,1515,0,0,-1,100,-180,-923,-385,717,-406,16583
tap_trace,9542,0x00,0,0,0x00,40,0,1514,0,0,-1,100,-208,-901,-394,735,-410,16601
tap_trace,9597,0x00,0,0,0x00,30,0,1522,0,0,-1,100,-198,-915,-387,689,-380,16572
tap_trace,9652,0x00,0,0,0x00,50,0,1503,0,0,-1,100,-213,-901,-381,734,-411,16546
tap_trace,9707,0x00,0,0,0x00,67,0,1497,0,0,-1,100,-188,-905,-388,725,-400,16578
tap_trace,9778,0x00,0,0,0x00,91,0,1518,0,0,-1,100,-212,-890,-385,728,-391,16593
tap_trace,9833,0x00,0,0,0x00,53,0,1510,0,0,-1,100,-207,-921,-388,731,-396,16570
tap_trace,9888,0x00,0,0,0x00,43,0,1469,0,0,-1,100,-208,-908,-375,726,-387,16567
tap_trace,9943,0x00,0,0,0x00,70,0,1483,0,0,-1,100,-199,-901,-391,730,-382,16518
tap_trace,9998,0x00,0,0,0x00,54,0,1474,0,0,-1,100,-199,-917,-383,710,-422,16563
tap_trace,10069,0x00,0,0,0x00,61,0,1492,0,0,-1,100,-187,-921,-381,705,-384,16581
tap_trace,10124,0x00,0,0,0x00,128,0,1508,0,0,-1,100,-206,-914,-388,739,-407,16587
tap_trace,10179,0x00,0,0,0x00,73,0,1514,0,0,-1,100,-211,-918,-371,743,-425,16551
tap_trace,10234,0x00,0,0,0x00,77,0,1500,0,0,-1,100,-196,-915,-380,711,-370,16528
tap_trace,10289,0x00,0,0,0x00,283,0,1459,0,0,-1,100,-186,-915,-388,687,-378,16621
tap_trace,10360,0x00,0,0,0x00,196,0,1515,0,0,-1,100,-210,-903,-375,708,-410,16586
tap_trace,10415,0x00,0,0,0x00,31,0,1490,0,0,-1,100,-202,-913,-376,729,-407,16569
tap_trace,10470,0x00,0,0,0x00,135,0,1507,0,0,-1,100,-230,-920,-383,703,-400,16559
tap_trace,10525,0x00,0,0,0x00,88,0,1466,0,0,-1,100,-201,-915,-393,702,-413,16540
tap_trace,10580,0x00,0,0,0x00,90,0,1525,0,0,-1,100,-189,-926,-377,757,-398,16584
tap_trace,10651,0x00,0,0,0x00,52,0,1509,0,0,-1,100,-197,-907,-390,708,-399,16578
tap_trace,10706,0x00,0,0,0x00,22,0,1443,0,0,-1,100,-168,-905,-389,739,-432,16580
tap_trace,10761,0x00,0,0,0x00,102,0,1482,0,0,-1,100,-185,-897,-378,718,-380,16499
tap_trace,10816,0x00,0,0,0x00,45,0,1475,0,0,-1,100,-166,-927,-374,717,-374,16539
tap_trace,10871,0x00,0,0,0x00,29,0,1470,0,0,-1,100,-211,-916,-382,711,-383,16554
tap_trace,10942,0x00,0,0,0x00,39,0,1498,0,0,-1,100,-199,-918,-387,752,-399,16555
tap_trace,10997,0x00,0,0,0x00,44,0,1465,0,0,-1,100,-177,-902,-379,737,-395,16543
tap_trace,11052,0x00,0,0,0x00,117,0,1506,0,0,-1,100,-196,-898,-389,699,-427,16712
tap_trace,11107,0x00,0,0,0x00,114,0,1514,0,0,-1,100,-197,-915,-382,749,-418,16470
tap_trace,11162,0x00,0,0,0x00,89,0,1528,0,0,-1,100,-202,-922,-384,745,-402,16612
tap_trace,11233,0x00,0,0,0x00,40,0,1487,0,0,-1,100,-184,-889,-396,715,-375,16544
tap_trace,11288,0x00,0,0,0x00,88,0,1489,0,0,-1,100,-192,-902,-395,739,-412,16563
tap_trace,11343,0x00,0,0,0x00,96,0,1497,0,0,-1,100,-190,-891,-386,702,-420,16567
tap_trace,11398,0x00,0,0,0x00,50,0,1488,0,0,-1,100,-184,-899,-396,713,-371,16537
tap_trace,11453,0x00,0,0,0x00,102,0,1487,0,0,-1,100,-198,-908,-392,780,-405,16554
tap_trace,11524,0x00,0,0,0x00,91,0,1488,0,0,-1,100,-209,-895,-378,688,-372,16561
tap_trace,11579,0x00,0,0,0x00,38,0,1464,0,0,-1,100,-188,-909,-372,711,-387,16624
tap_trace,11634,0x00,0,0,0x00,75,0,1465,0,0,-1,100,-191,-889,-379,747,-389,16572
tap_trace,11689,0x00,0,0,0x00,86,0,1511,0,0,-1,100,-211,-913,-381,711,-412,16585
tap_trace,11744,0x00,0,0,0x00,36,0,1513,0,0,-1,100,-191,-923,-385,731,-415,16562
tap_trace,11815,0x00,0,0,0x00,43,0,1472,0,0,-1,100,-179,-901,-370,717,-434,16555
tap_trace,11870,0x00,0,0,0x00,39,0,1483,0,0,-1,100,-195,-912,-386,733,-404,16553
tap_trace,11925,0x00,0,0,0x00,80,0,1487,0,0,-1,100,-190,-905,-383,733,-402,16533
tap_trace,11980,0x00,0,0,0x00,75,0,1507,0,0,-1,100,-203,-909,-381,681,-395,16538
tap_trace,12035,0x00,0,0,0x00,61,0,1506,0,0,-1,100,-218,-883,-371,723,-402,16570
tap_trace,12106,0x00,0,0,0x00,91,0,1500,0,0,-1,100,-186,-904,-393,715,-397,16544
tap_trace,12161,0x00,0,0,0x00,121,0,1501,0,0,-1,100,-203,-925,-381,689,-367,16564
tap_trace,12216,0x00,0,0,0x00,235,0,1484,0,0,-1,100,-192,-909,-384,722,-377,16721
tap_trace,12271,0x00,0,0,0x00,163,0,1484,0,0,-1,100,-179,-897,-388,721,-398,16531
tap_trace,12326,0x00,0,0,0x00,71,0,1491,0,0,-1,100,-193,-905,-385,748,-401,16579
tap_trace,12397,0x00,0,0,0x00,110,0,1476,0,0,-1,100,-195,-921,-376,747,-393,16530
tap_trace,12452,0x00,0,0,0x00,124,0,1507,0,0,-1,100,-203,-902,-375,686,-403,16583
tap_trace,12507,0x00,0,0,0x00,114,0,1511,0,0,-1,100,-218,-903,-377,718,-385,16530
tap_trace,12562,0x00,0,0,0x00,57,0,1500,0,0,-1,100,-202,-911,-368,712,-416,16593
tap_trace,12617,0x00,0,0,0x00,57,0,1461,0,0,-1,100,-196,-908,-386,716,-382,16554
tap_trace,12688,0x00,0,0,0x00,35,0,1507,0,0,-1,100,-194,-928,-370,678,-417,16567
tap_trace,12743,0x00,0,0,0x00,25,0,1477,0,0,-1,100,-202,-909,-385,741,-412,16549
tap_trace,12798,0x00,0,0,0x00,24,0,1506,0,0,-1,100,-201,-928,-383,735,-400,16521
tap_trace,12853,0x00,0,0,0x00,23,0,1494,0,0,-1,100,-190,-919,-392,724,-407,16548
tap_trace,12909,0x00,0,0,0x00,74,0,1503,0,0,-1,100,-198,-890,-381,722,-403,16558
