[0;32mI (13) boot: ESP-IDF v5.1-beta1-378-gea5e0ff298-dirt 2nd stage bootloader[0m
[0;32mI (13) boot: compile time Jun  7 2023 07:48:23[0m
[0;32mI (15) boot: Multicore bootloader[0m
[0;32mI (19) boot: chip revision: v3.1[0m
[0;32mI (23) boot.esp32: SPI Speed      : 40MHz[0m
[0;32mI (27) boot.esp32: SPI Mode       : DIO[0m
[0;32mI (32) boot.esp32: SPI Flash Size : 4MB[0m
[0;32mI (36) boot: Enabling RNG early entropy source...[0m
[0;32mI (42) boot: Partition Table:[0m
[0;32mI (45) boot: ## Label            Usage          Type ST Offset   Length[0m
[0;32mI (53) boot:  0 nvs              WiFi data        01 02 00009000 00006000[0m
[0;32mI (60) boot:  1 phy_init         RF data          01 01 0000f000 00001000[0m
[0;32mI (67) boot:  2 factory          factory app      00 00 00010000 003f0000[0m
[0;32mI (75) boot: End of partition table[0m
[0;32mI (79) esp_image: segment 0: paddr=00010020 vaddr=3f400020 size=0b1bch ( 45500) map[0m
[0;32mI (104) esp_image: segment 1: paddr=0001b1e4 vaddr=3ffb0000 size=01f6ch (  8044) load[0m
[0;32mI (108) esp_image: segment 2: paddr=0001d158 vaddr=40080000 size=013f4h (  5108) load[0m
[0;32mI (112) esp_image: segment 3: paddr=0001e554 vaddr=00000000 size=01ac4h (  6852) [0m
[0;32mI (121) esp_image: segment 4: paddr=00020020 vaddr=400d0020 size=10bc8h ( 68552) map[0m
[0;32mI (152) boot: Loaded app from partition at offset 0x10000[0m
[0;32mI (153) boot: Disabling RNG early entropy source...[0m
tap_trace,ms,tap_src,seq,cand,csrc,jerk,veto,gyro,int1,int2,pgood,batt_pct,gx,gy,gz,ax,ay,az
tap_trace,5755,0x00,0,0,0x00,27,0,1453,0,0,-1,100,-202,-889,-397,725,-414,16566
tap_trace,5810,0x00,0,0,0x00,82,0,1484,0,0,-1,100,-186,-898,-367,730,-362,16554
tap_trace,5865,0x00,0,0,0x00,99,0,1480,0,0,-1,100,-187,-914,-371,736,-411,16594
tap_trace,5920,0x00,0,0,0x00,108,0,1440,0,0,-1,100,-182,-905,-376,729,-380,16605
tap_trace,5990,0x00,0,0,0x00,52,0,1408,0,0,-1,100,-150,-894,-387,725,-402,16543
tap_trace,6046,0x00,0,0,0x00,131,0,1434,0,0,-1,100,-176,-880,-386,696,-334,16545
tap_trace,6101,0x00,0,0,0x00,156,0,1450,0,0,-1,100,-180,-896,-381,720,-374,16556
tap_trace,6156,0x00,0,0,0x00,141,0,1466,0,0,-1,100,-176,-915,-384,705,-388,16567
tap_trace,6211,0x00,0,0,0x00,136,0,1492,0,0,-1,100,-203,-905,-369,724,-369,16563
tap_trace,6281,0x00,0,0,0x00,60,0,1484,0,0,-1,100,-204,-891,-392,722,-396,16552
tap_trace,6336,0x00,0,0,0x00,27,0,1484,0,0,-1,100,-191,-893,-379,714,-393,16576
tap_trace,6391,0x00,0,0,0x00,17,0,1429,0,0,-1,100,-195,-905,-388,697,-367,16574
tap_trace,6446,0x00,0,0,0x00,32,0,1475,0,0,-1,100,-188,-900,-381,691,-360,16574
tap_trace,6502,0x00,0,0,0x00,74,0,1472,0,0,-1,100,-186,-899,-369,719,-380,16556
tap_trace,6572,0x00,0,0,0x00,107,0,1453,0,0,-1,100,-174,-904,-397,725,-404,16545
tap_trace,6627,0x00,0,0,0x00,60,0,1434,0,0,-1,100,-205,-897,-368,687,-383,16552
tap_trace,6682,0x00,0,0,0x00,98,0,1478,0,0,-1,100,-197,-899,-386,725,-368,16557
tap_trace,6737,0x00,0,0,0x00,182,0,1458,0,0,-1,100,-200,-892,-368,702,-373,16530
tap_trace,6792,0x00,0,0,0x00,125,0,1474,0,0,-1,100,-195,-904,-377,718,-386,16583
tap_trace,6863,0x00,0,0,0x00,145,0,1490,0,0,-1,100,-204,-894,-363,696,-370,16560
tap_trace,6918,0x00,0,0,0x00,92,0,1461,0,0,-1,100,-182,-869,-369,704,-383,16571
tap_trace,6973,0x00,0,0,0x00,61,0,1477,0,0,-1,100,-199,-896,-380,706,-391,16566
tap_trace,7028,0x00,0,0,0x00,96,0,1468,0,0,-1,100,-191,-881,-377,702,-356,16597
tap_trace,7083,0x00,0,0,0x00,66,0,1459,0,0,-1,100,-195,-900,-375,701,-376,16573
tap_trace,7154,0x00,0,0,0x00,59,0,1476,0,0,-1,100,-190,-893,-393,672,-375,16552
tap_trace,7209,0x00,0,0,0x00,27,0,1530,0,0,-1,100,-184,-925,-377,704,-371,16549
tap_trace,7264,0x00,0,0,0x00,183,0,1475,0,0,-1,100,-225,-886,-379,523,-362,16579
tap_trace,7319,0x00,0,0,0x00,133,0,1469,0,0,-1,100,-182,-886,-372,692,-396,16577
tap_trace,7374,0x00,0,0,0x00,62,0,1468,0,0,-1,100,-201,-913,-367,700,-379,16562
tap_trace,7445,0x00,0,0,0x00,120,0,1468,0,0,-1,100,-200,-889,-373,713,-369,16548
tap_trace,7500,0x00,0,0,0x00,83,0,1465,0,0,-1,100,-184,-913,-381,680,-365,16554
tap_trace,7555,0x00,0,0,0x00,65,0,1485,0,0,-1,100,-198,-896,-403,718,-367,16562
tap_trace,7610,0x00,0,0,0x00,49,0,1482,0,0,-1,100,-175,-895,-399,686,-366,16579
tap_trace,7665,0x00,0,0,0x00,83,0,1485,0,0,-1,100,-196,-914,-377,710,-387,16584
tap_trace,7736,0x00,0,0,0x00,54,0,1511,0,0,-1,100,-187,-906,-389,664,-357,16556
tap_trace,7791,0x00,0,0,0x00,42,0,1477,0,0,-1,100,-195,-904,-364,712,-392,16554
tap_trace,7846,0x00,0,0,0x00,42,0,1469,0,0,-1,100,-190,-910,-391,717,-378,16558
tap_trace,7901,0x00,0,0,0x00,44,0,1490,0,0,-1,100,-190,-901,-361,726,-388,16583
tap_trace,7956,0x00,0,0,0x00,69,0,1492,0,0,-1,100,-194,-889,-373,711,-349,16552
tap_trace,8027,0x00,0,0,0x00,96,0,1471,0,0,-1,100,-201,-877,-353,694,-374,16576
tap_trace,8082,0x00,0,0,0x00,18,0,1493,0,0,-1,100,-198,-908,-386,720,-390,16579
tap_trace,8137,0x00,0,0,0x00,64,0,1489,0,0,-1,100,-194,-903,-402,732,-378,16533
tap_trace,8192,0x00,0,0,0x00,49,0,1474,0,0,-1,100,-200,-888,-375,716,-372,16540
tap_trace,8247,0x00,0,0,0x00,24,0,1456,0,0,-1,100,-215,-895,-394,703,-391,16556
tap_trace,8317,0x00,0,0,0x00,43,0,1472,0,0,-1,100,-211,-905,-368,717,-348,16549
tap_trace,8373,0x00,0,0,0x00,74,0,1482,0,0,-1,100,-196,-900,-375,709,-379,16581
tap_trace,8428,0x00,0,0,0x00,71,0,1438,0,0,-1,100,-187,-887,-382,712,-383,16558
tap_trace,8483,0x00,0,0,0x00,59,0,1488,0,0,-1,100,-169,-900,-381,735,-389,16526
tap_trace,8538,0x00,0,0,0x00,78,0,1474,0,0,-1,100,-182,-899,-386,722,-385,16553
tap_trace,8608,0x00,0,0,0x00,53,0,1509,0,0,-1,100,-175,-903,-384,729,-348,16539
tap_trace,8663,0x00,0,0,0x00,59,0,1473,0,0,-1,100,-184,-904,-367,670,-382,16578
tap_trace,8718,0x00,0,0,0x00,44,0,1505,0,0,-1,100,-204,-908,-390,679,-370,16557
tap_trace,8773,0x00,0,0,0x00,19,0,1484,0,0,-1,100,-206,-898,-369,687,-376,16573
