[0;32mI (13) boot: ESP-IDF v5.1-beta1-378-gea5e0ff298-dirt 2nd stage bootloader[0m
[0;32mI (13) boot: compile time Jun  7 2023 07:48:23[0m
[0;32mI (15) boot: Multicore bootloader[0m
[0;32mI (19) boot: chip revision: v3.1[0m
[0;32mI (23) boot.esp32: SPI Speed      : 40MHz[0m
[0;32mI (27) boot.esp32: SPI Mode       : DIO[0m
[0;32mI (32) boot.esp32: SPI Flash Size : 4MB[0m
[0;32mI (36) boot: Enabling RNG early entropy source...[0m
[0;32mI (42) boot: Partition Table:[0m
[0;32mI (45) boot: ## Label            Usage          Type ST Offset   Length[0m
[0;32mI (53) boot:  0 nvs              WiFi data        01 02 00009000 00006000[0m
[0;32mI (60) boot:  1 phy_init         RF data          01 01 0000f000 00001000[0m
[0;32mI (67) boot:  2 factory          factory app      00 00 00010000 003f0000[0m
[0;32mI (75) boot: End of partition table[0m
[0;32mI (79) esp_image: segment 0: paddr=00010020 vaddr=3f400020 size=0b168h ( 45416) map[0m
[0;32mI (104) esp_image: segment 1: paddr=0001b190 vaddr=3ffb0000 size=01f6ch (  8044) load[0m
[0;32mI (108) esp_image: segment 2: paddr=0001d104 vaddr=40080000 size=013f4h (  5108) load[0m
[0;32mI (112) esp_image: segment 3: paddr=0001e500 vaddr=00000000 size=01b18h (  6936) [0m
[0;32mI (121) esp_image: segment 4: paddr=00020020 vaddr=400d0020 size=10a9ch ( 68252) map[0m
[0;32mI (152) boot: Loaded app from partition at offset 0x10000[0m
[0;32mI (152) boot: Disabling RNG early entropy source...[0m
tap_trace,ms,tap_src,seq,cand,csrc,jerk,int1,int2,pgood,batt_pct,gx,gy,gz,ax,ay,az
tap_trace,1673,0x00,0,0,0x00,0,0,0,0,100,0,0,0,252,-246,16564
tap_trace,3341,0x00,0,0,0x00,91,0,0,0,100,0,0,0,245,-232,16550
tap_trace,3397,0x00,0,0,0x00,105,0,0,0,100,0,0,0,252,-254,16594
tap_trace,3452,0x00,0,0,0x00,86,0,0,0,100,0,0,0,254,-250,16583
tap_trace,3508,0x00,0,0,0x00,49,0,0,0,100,0,0,0,250,-250,16583
tap_trace,3563,0x00,0,0,0x00,35,0,0,0,100,0,0,0,259,-257,16607
tap_trace,3619,0x00,0,0,0x00,33,0,0,-1,100,0,0,0,249,-250,16580
tap_trace,3676,0x00,0,0,0x00,13,0,0,-1,100,0,0,0,237,-254,16583
tap_trace,3731,0x00,0,0,0x00,46,0,0,-1,100,0,0,0,261,-244,16608
tap_trace,3787,0x00,0,0,0x00,51,0,0,-1,100,0,0,0,275,-237,16562
tap_trace,3842,0x00,0,0,0x00,46,0,0,-1,100,0,0,0,245,-252,16578
tap_trace,3898,0x00,0,0,0x00,56,0,0,-1,100,0,0,0,261,-255,16577
tap_trace,3954,0x00,0,0,0x00,65,0,0,-1,100,0,0,0,239,-264,16593
tap_trace,4010,0x00,0,0,0x00,37,0,0,-1,100,0,0,0,258,-249,16606
tap_trace,4065,0x00,0,0,0x00,84,0,0,-1,100,0,0,0,262,-227,16615
tap_trace,4121,0x00,0,0,0x00,21,0,0,-1,100,0,0,0,268,-256,16612
tap_trace,4176,0x00,0,0,0x00,56,0,0,-1,100,0,0,0,259,-226,16590
tap_trace,4233,0x00,0,0,0x00,45,0,0,-1,100,0,0,0,263,-240,16598
tap_trace,4289,0x00,0,0,0x00,50,0,0,-1,100,0,0,0,274,-263,16593
tap_trace,4344,0x00,0,0,0x00,53,0,0,-1,100,0,0,0,274,-253,16570
tap_trace,4400,0x00,0,0,0x00,46,0,0,-1,100,0,0,0,218,-236,16607
tap_trace,4455,0x00,0,0,0x00,48,0,0,-1,100,0,0,0,222,-261,16597
tap_trace,4512,0x00,0,0,0x00,65,0,0,-1,100,0,0,0,275,-253,16611
tap_trace,4568,0x00,0,0,0x00,37,0,0,-1,100,0,0,0,247,-263,16581
tap_trace,4623,0x00,0,0,0x00,23,0,0,-1,100,0,0,0,232,-271,16563
tap_trace,4679,0x00,0,0,0x00,77,0,0,-1,100,0,0,0,273,-246,16601
tap_trace,4734,0x00,0,0,0x00,34,0,0,-1,100,0,0,0,250,-253,16582
tap_trace,4791,0x00,0,0,0x00,58,0,0,-1,100,0,0,0,275,-250,16605
tap_trace,4846,0x00,0,0,0x00,63,0,0,-1,100,0,0,0,290,-260,16588
tap_trace,4902,0x00,0,0,0x00,14,0,0,-1,100,0,0,0,266,-260,16609
tap_trace,4957,0x00,0,0,0x00,21,0,0,-1,100,0,0,0,288,-254,16564
tap_trace,5013,0x00,0,0,0x00,48,0,0,-1,100,0,0,0,261,-257,16596
tap_trace,5070,0x00,0,0,0x00,50,0,0,-1,100,0,0,0,237,-248,16615
tap_trace,5125,0x00,0,0,0x00,32,0,0,-1,100,0,0,0,253,-256,16608
tap_trace,5181,0x00,0,0,0x00,33,0,0,-1,100,0,0,0,269,-247,16608
tap_trace,5236,0x00,0,0,0x00,57,0,0,-1,100,0,0,0,248,-262,16585
tap_trace,5292,0x00,0,0,0x00,33,0,0,-1,100,0,0,0,230,-254,16554
tap_trace,5349,0x00,0,0,0x00,333,0,0,-1,100,0,0,0,256,-481,16575
tap_trace,5404,0x00,0,0,0x00,253,0,0,-1,100,0,0,0,273,-256,16604
tap_trace,5460,0x00,0,0,0x00,97,0,0,-1,100,0,0,0,247,-232,16558
tap_trace,5515,0x00,0,0,0x00,74,0,0,-1,100,0,0,0,238,-264,16569
tap_trace,5571,0x00,0,0,0x00,68,0,0,-1,100,0,0,0,251,-252,16583
tap_trace,5627,0x00,0,0,0x00,74,0,0,-1,100,0,0,0,260,-245,16584
tap_trace,5683,0x00,0,0,0x00,61,0,0,-1,100,0,0,0,238,-223,16589
tap_trace,5738,0x00,0,0,0x00,42,0,0,-1,100,0,0,0,240,-274,16597
tap_trace,5794,0x00,0,0,0x00,49,0,0,-1,100,0,0,0,220,-275,16592
tap_trace,5849,0x00,0,0,0x00,44,0,0,-1,100,0,0,0,244,-269,16570
tap_trace,5906,0x00,0,0,0x00,299,0,0,-1,100,0,0,0,258,-254,16581
tap_trace,5962,0x00,0,0,0x00,506,0,0,-1,100,0,0,0,261,-243,16605
tap_trace,6017,0x00,0,0,0x00,280,0,0,-1,100,0,0,0,251,-236,16572
tap_trace,6073,0x00,0,0,0x00,40,0,0,-1,100,0,0,0,279,-227,16573
tap_trace,6128,0x00,0,0,0x00,39,0,0,-1,100,0,0,0,279,-236,16599
tap_trace,6185,0x00,0,0,0x00,53,0,0,-1,100,0,0,0,262,-246,16608
tap_trace,6241,0x00,0,0,0x00,55,0,0,-1,100,0,0,0,250,-272,16581
tap_trace,6296,0x00,0,0,0x00,31,0,0,-1,100,0,0,0,259,-245,16590
tap_trace,6352,0x00,0,0,0x00,96,0,0,-1,100,0,0,0,275,-242,16595
tap_trace,6407,0x00,0,0,0x00,129,0,0,-1,100,0,0,0,281,-281,16587
tap_trace,6464,0x00,0,0,0x00,89,0,0,-1,100,0,0,0,269,-243,16605
tap_trace,6519,0x00,0,0,0x00,34,0,0,-1,100,0,0,0,238,-259,16609
tap_trace,6575,0x00,0,0,0x00,23,0,0,-1,100,0,0,0,261,-243,16605
tap_trace,6630,0x00,0,0,0x00,44,0,0,-1,100,0,0,0,257,-235,16609
tap_trace,6686,0x00,0,0,0x00,37,0,0,-1,100,0,0,0,250,-246,16591
tap_trace,6743,0x00,0,0,0x00,48,0,0,-1,100,0,0,0,252,-245,16589
tap_trace,6798,0x00,0,0,0x00,54,0,0,-1,100,0,0,0,256,-249,16602
tap_trace,6854,0x00,0,0,0x00,50,0,0,-1,100,0,0,0,274,-231,16588
tap_trace,6909,0x00,0,0,0x00,47,0,0,-1,100,0,0,0,266,-271,16612
tap_trace,6965,0x00,0,0,0x00,38,0,0,-1,100,0,0,0,241,-230,16617
tap_trace,7022,0x00,0,0,0x00,31,0,0,-1,100,0,0,0,250,-249,16591
tap_trace,7077,0x00,0,0,0x00,29,0,0,-1,100,0,0,0,242,-225,16600
tap_trace,7133,0x00,0,0,0x00,47,0,0,-1,100,0,0,0,234,-274,16631
tap_trace,7188,0x00,0,0,0x00,29,0,0,-1,100,0,0,0,238,-240,16586
tap_trace,7243,0x00,0,0,0x00,55,0,0,-1,100,0,0,0,266,-269,16620
tap_trace,7300,0x00,0,0,0x00,26,0,0,-1,100,0,0,0,238,-274,16579
tap_trace,7356,0x00,0,0,0x00,70,0,0,-1,100,0,0,0,257,-251,16618
tap_trace,7411,0x00,0,0,0x00,94,0,0,-1,100,0,0,0,275,-228,16618
tap_trace,7467,0x00,0,0,0x00,42,0,0,-1,100,0,0,0,260,-254,16569
tap_trace,7522,0x00,0,0,0x00,282,0,0,-1,100,0,0,0,236,-279,16572
tap_trace,7579,0x00,0,0,0x00,288,0,0,-1,100,0,0,0,236,-255,16575
tap_trace,7635,0x00,0,0,0x00,42,0,0,-1,100,0,0,0,227,-243,16567
tap_trace,7690,0x00,0,0,0x00,73,0,0,-1,100,0,0,0,254,-254,16576
tap_trace,7746,0x00,0,0,0x00,90,0,0,-1,100,0,0,0,234,-270,16594
tap_trace,7801,0x00,0,0,0x00,55,0,0,-1,100,0,0,0,273,-224,16584
tap_trace,7858,0x00,0,0,0x00,50,0,0,-1,100,0,0,0,263,-235,16591
tap_trace,7913,0x00,0,0,0x00,20,0,0,-1,100,0,0,0,228,-259,16589
tap_trace,7969,0x00,0,0,0x00,44,0,0,-1,100,0,0,0,265,-265,16591
tap_trace,8024,0x00,0,0,0x00,12,0,0,-1,100,0,0,0,277,-238,16587
tap_trace,8080,0x00,0,0,0x00,50,0,0,-1,100,0,0,0,251,-260,16588
tap_trace,8137,0x00,0,0,0x00,37,0,0,-1,100,0,0,0,258,-226,16588
tap_trace,8192,0x00,0,0,0x00,59,0,0,-1,100,0,0,0,247,-242,16574
tap_trace,8248,0x00,0,0,0x00,66,0,0,-1,100,0,0,0,239,-253,16598
tap_trace,8303,0x00,0,0,0x00,61,0,0,-1,100,0,0,0,259,-258,16583
tap_trace,8359,0x00,0,0,0x00,40,0,0,-1,100,0,0,0,257,-266,16586
tap_trace,8416,0x00,0,0,0x00,66,0,0,-1,100,0,0,0,249,-232,16592
tap_trace,8471,0x00,0,0,0x00,42,0,0,-1,100,0,0,0,237,-241,16563
tap_trace,8527,0x00,0,0,0x00,37,0,0,-1,100,0,0,0,269,-279,16601
tap_trace,8582,0x00,0,0,0x00,26,0,0,-1,100,0,0,0,246,-278,16578
tap_trace,8638,0x00,0,0,0x00,73,0,0,-1,100,0,0,0,240,-242,16582
tap_trace,8695,0x00,0,0,0x00,36,0,0,-1,100,0,0,0,258,-274,16627
